id,subject,topic,difficulty,question,option_1,option_2,option_3,option_4,answer,explanation
1,Anatomy,Upper Limb,1,Which of the following muscles is known as the 'Boxer's muscle'?,Pectoralis Major,Serratus Anterior,Latissimus Dorsi,Deltoid,Serratus Anterior,The Serratus Anterior protracts the scapula and is essential for punching.
2,Anatomy,Upper Limb,2,Injury to the radial nerve in the spiral groove leads to which condition?,Claw Hand,Ape Thumb Deformity,Wrist Drop,Pointing Index,Wrist Drop,Radial nerve injury causes loss of wrist extensors.
3,Anatomy,Upper Limb,3,Inability to initiate abduction of the arm indicates injury to which muscle?,Deltoid,Supraspinatus,Infraspinatus,Subscapularis,Supraspinatus,Supraspinatus initiates the first 15° of abduction.
4,Anatomy,Thorax,1,The Angle of Louis lies at which vertebral level?,T2-T3,T4-T5,T6-T7,T8-T9,T4-T5,Sternal angle corresponds to T4–T5 disc.
5,Anatomy,Thorax,4,Which is NOT a content of the posterior mediastinum?,Esophagus,Azygos vein,Vagus nerve,Phrenic nerve,Phrenic nerve,Phrenic nerve lies in middle mediastinum.
6,Anatomy,Abdomen,2,Epiploic foramen is bounded anteriorly by:,IVC,Portal vein,Caudate lobe,First part of duodenum,Portal vein,Anterior boundary contains portal triad.
7,Anatomy,Abdomen,3,Caput medusae occurs due to anastomosis between:,Left gastric & esophageal,Superior & inferior rectal,Paraumbilical & superficial epigastric,Splenic & renal,Paraumbilical & superficial epigastric,Portal–systemic anastomosis at umbilicus.
8,Anatomy,Lower Limb,1,Longest vein in the human body is:,Femoral vein,Great saphenous vein,Popliteal vein,Small saphenous vein,Great saphenous vein,Runs from foot to groin.
9,Anatomy,Lower Limb,4,Unhappy triad consists of:,"ACL,PCL,LCL","ACL,MCL,Medial meniscus","PCL,MCL,Lateral meniscus","ACL,LCL,Lateral meniscus","ACL,MCL,Medial meniscus",Classic knee injury triad.
10,Anatomy,Head & Neck,2,Safety muscle of the tongue is:,Hyoglossus,Styloglossus,Genioglossus,Palatoglossus,Genioglossus,Prevents tongue from falling back.
11,Anatomy,Head & Neck,3,Inability to close eye indicates injury to which nerve?,Trigeminal,Facial,Oculomotor,Glossopharyngeal,Facial,CN VII supplies facial expression muscles.
12,Anatomy,Neuroanatomy,4,Blood-CSF barrier is formed by:,Astrocytes,Endothelial junctions,Choroid plexus epithelium,Arachnoid villi,Choroid plexus epithelium,Tight junctions form barrier.
