id,subject,topic,difficulty,question,option_1,option_2,option_3,option_4,answer,explanation
1,Medicine,Cardiology,3,A 65-year-old male with a history of hypertension presents with sudden onset tearing chest pain radiating to the back. His BP is 180/110 mmHg. Which is the most likely diagnosis?,Acute Myocardial Infarction,Aortic Dissection,Pulmonary Embolism,Pneumothorax,Aortic Dissection,Tearing chest pain radiating to the back in a hypertensive patient is a classic presentation of Aortic Dissection.
2,Medicine,Endocrinology,1,Which of the following is the drug of choice for Gestational Diabetes Mellitus?,Metformin,Insulin,Glimepiride,Pioglitazone,Insulin,Insulin is the gold standard for GDM as it does not cross the placenta and has a proven safety profile.
3,Medicine,Neurology,2,The 'clasp-knife' spasticity is a clinical feature of which type of lesion?,Lower Motor Neuron,Upper Motor Neuron,Cerebellar,Basal Ganglia,Upper Motor Neuron,"Clasp-knife rigidity/spasticity is a hallmark of UMN lesions, while 'lead-pipe' or 'cogwheel' rigidity is seen in Extrapyramidal (Basal Ganglia) lesions."
4,Psychiatry,Mood Disorders,2,A patient believes that his thoughts are being broadcast to others so that they can hear them. This is known as:,Thought Insertion,Thought Withdrawal,Thought Broadcasting,Thought Echo,Thought Broadcasting,Thought broadcasting is a first-rank symptom of schizophrenia where the patient feels their private thoughts are known to others.
5,Dermatology,Papulosquamous,3,"A 30-year-old male presents with silvery-white scales on the extensor surfaces of his elbows and knees. On scraping the scale, pinpoint bleeding is noted. This sign is:",Nikolsky sign,Auspitz sign,Koebner phenomenon,Hutchinson sign,Auspitz sign,Auspitz sign (pinpoint bleeding after scraping scales) is characteristic of Psoriasis.
6,Radiology,Gastrointestinal,2,The 'Apple Core' appearance on a Barium Enema is most suggestive of:,Ulcerative Colitis,Crohn's Disease,Carcinoma of the Colon,Intussusception,Carcinoma of the Colon,"An 'apple core' lesion indicates a circumferential constricting mass, most commonly seen in Colonic Adenocarcinoma."
7,Medicine,Pulmonology,4,"A patient with COPD presents with acute respiratory distress. Arterial Blood Gas (ABG) shows pH 7.25, pCO2 65 mmHg, and HCO3 28 mEq/L. What is the diagnosis?",Metabolic Acidosis,Respiratory Alkalosis,Respiratory Acidosis,Metabolic Alkalosis,Respiratory Acidosis,"The low pH (<7.35) and elevated pCO2 (>45) indicate respiratory acidosis, commonly seen in CO2 retention in COPD."
8,Medicine,Hematology,1,Which of the following is the most sensitive marker for Iron Deficiency Anemia?,Serum Iron,Serum Ferritin,Total Iron Binding Capacity,Hemoglobin,Serum Ferritin,Serum Ferritin reflects total body iron stores and is the first value to decrease in iron deficiency.
9,Dermatology,Vesiculobullous,4,A 50-year-old woman presents with oral ulcers followed by flaccid bullae on the skin. Direct Immunofluorescence shows a 'fish-net' pattern of IgG. What is the diagnosis?,Bullous Pemphigoid,Pemphigus Vulgaris,Dermatitis Herpetiformis,Erythema Multiforme,Pemphigus Vulgaris,Flaccid bullae and fish-net IgG pattern (desmoglein antibodies) are classic for Pemphigus Vulgaris.
10,Psychiatry,Alcoholism,3,"A chronic alcoholic presents with ataxia, ophthalmoplegia, and confusion. Which vitamin deficiency is the cause?",Vitamin B12,Vitamin B1 (Thiamine),Vitamin B6,Vitamin B3,Vitamin B1 (Thiamine),This is the classic triad of Wernicke's Encephalopathy due to Thiamine deficiency.
